"","COMID","wgt","draw_year"
"140",15514242,754.229896,"2018_2022"
"141",8118259,144.565574,"2018_2022"
"142",8118867,125.782515,"2018_2022"
"143",8117937,144.565574,"2018_2022"
"144",8110619,469.453749,"2018_2022"
"145",8118807,124.433486,"2018_2022"
"146",8110593,125.782515,"2018_2022"
"147",8118423,125.782515,"2018_2022"
"148",8118979,144.565574,"2018_2022"
"149",8117117,144.565574,"2018_2022"
"150",8110563,469.453749,"2018_2022"
"151",8117925,144.565574,"2018_2022"
"152",8118901,124.433486,"2018_2022"
"153",8110539,469.453749,"2018_2022"
"154",8110719,124.433486,"2018_2022"
"155",8119067,125.782515,"2018_2022"
"156",8110985,125.782515,"2018_2022"
"157",8118893,144.565574,"2018_2022"
"158",8119059,125.782515,"2018_2022"
"159",8110553,469.453749,"2018_2022"
"160",8117697,124.433486,"2018_2022"
"161",8117143,469.453749,"2018_2022"
"162",8110807,469.453749,"2018_2022"
"163",8118439,125.782515,"2018_2022"
"164",8118853,144.565574,"2018_2022"
"165",8110889,124.433486,"2018_2022"
"166",8110651,469.453749,"2018_2022"
"167",8117817,469.453749,"2018_2022"
"168",8118159,469.453749,"2018_2022"
"169",8117177,144.565574,"2018_2022"
"170",8110609,469.453749,"2018_2022"
"171",8118457,125.782515,"2018_2022"
"172",8119185,144.565574,"2018_2022"
"173",8117341,144.565574,"2018_2022"
"174",8110571,124.433486,"2018_2022"
"175",8118945,125.782515,"2018_2022"
"176",8110923,469.453749,"2018_2022"
"177",8110919,125.782515,"2018_2022"
"178",8117727,469.453749,"2018_2022"
"179",8118307,469.453749,"2018_2022"
"180",8121467,124.433486,"2018_2022"
"181",8118001,469.453749,"2018_2022"
"182",8118815,125.782515,"2018_2022"
"183",8117805,124.433486,"2018_2022"
"184",8110903,144.565574,"2018_2022"
"185",8117793,124.433486,"2018_2022"
"186",8118963,469.453749,"2018_2022"
"187",8118097,144.565574,"2018_2022"
"188",8119245,125.782515,"2018_2022"
"189",8118243,125.782515,"2018_2022"
"190",2617552,139.402544,"2018_2022"
"191",2613640,600.086504,"2018_2022"
"192",1748561,196.218209,"2018_2022"
"193",4147570,196.218209,"2018_2022"
"194",2617554,165.37573,"2018_2022"
"195",2614040,600.086504,"2018_2022"
"196",2615112,196.218209,"2018_2022"
"197",1750437,165.37573,"2018_2022"
"198",4147774,600.086504,"2018_2022"
"199",2613628,196.218209,"2018_2022"
"200",2617430,165.37573,"2018_2022"
"201",1750383,600.086504,"2018_2022"
"202",4147796,600.086504,"2018_2022"
"203",2617358,165.37573,"2018_2022"
"204",2616720,196.218209,"2018_2022"
"205",1748541,196.218209,"2018_2022"
"206",2613574,600.086504,"2018_2022"
"207",4147634,165.37573,"2018_2022"
"208",2613734,600.086504,"2018_2022"
"209",1750595,600.086504,"2018_2022"
"210",4147812,196.218209,"2018_2022"
"211",1749387,600.086504,"2018_2022"
"212",2615066,600.086504,"2018_2022"
"213",1750423,196.218209,"2018_2022"
"214",2613650,600.086504,"2018_2022"
"215",1752145,165.37573,"2018_2022"
"216",4147966,600.086504,"2018_2022"
"217",2612934,196.218209,"2018_2022"
"218",4147724,600.086504,"2018_2022"
"219",2613926,196.218209,"2018_2022"
"220",4147552,139.402544,"2018_2022"
"221",1748725,196.218209,"2018_2022"
"222",4150574,600.086504,"2018_2022"
"223",2613372,600.086504,"2018_2022"
"224",1750505,196.218209,"2018_2022"
"225",1748543,196.218209,"2018_2022"
"226",1749235,600.086504,"2018_2022"
"227",1749261,165.37573,"2018_2022"
"228",1748635,196.218209,"2018_2022"
"229",2612812,600.086504,"2018_2022"
"230",4147860,196.218209,"2018_2022"
"231",2615160,139.402544,"2018_2022"
"232",4150050,600.086504,"2018_2022"
"233",1750485,600.086504,"2018_2022"
"234",4149976,600.086504,"2018_2022"
"235",2617384,165.37573,"2018_2022"
"236",2613416,600.086504,"2018_2022"
"237",4147366,196.218209,"2018_2022"
"238",4147616,600.086504,"2018_2022"
"239",2612926,600.086504,"2018_2022"
"240",15537211,707.634706,"2018_2022"
"241",15547417,707.634706,"2018_2022"
