"","filter_match","X","SMAS_ID","COMID","YEAR","latitude","longitude","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","adj_wgt","mdcaty","SO","start","end","matching","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","median"
"16","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","ZINC","ug/L","TOTAL",NA
"17","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, AMMONIA (AS N)","mg/L","TOTAL",NA
"18","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, NITRATE (AS N)","mg/L","TOTAL",0.328
"19","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","SILVER","ug/L","TOTAL",NA
"20","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, NITRATE-NITRITE","mg/L","TOTAL",0.328
"21","01-CLAR-18.5_2020",91,"01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,1766.29640513374,"1st",1,2018,2022,"01-CLAR-18.5_15582177_2020_2018","NITROGEN, KJELDAHL, TOTAL","mg/L","TOTAL",0.57
"22","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","SILVER","ug/L","TOTAL",NA
"23","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","NITROGEN, AMMONIA (AS N)","mg/L","TOTAL",NA
"24","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","LEAD","ug/L","TOTAL",NA
"25","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","ZINC","ug/L","TOTAL",NA
"26","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","TURBIDITY","NTU","TOTAL",7.6
"27","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","ALKALINITY, TOTAL (AS CACO3)","mg/L","TOTAL",139
"28","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","IRON","ug/L","TOTAL",271
"29","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","NICKEL","ug/L","TOTAL",0.83
"30","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","CADMIUM","ug/L","TOTAL",NA
"31","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","NITROGEN, NITRATE-NITRITE","mg/L","TOTAL",0.19
"32","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","COPPER","ug/L","TOTAL",1.6
"33","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","HARDNESS (AS CACO3)","mg/L","TOTAL",166
"34","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","NITROGEN, NITRITE","mg/L","TOTAL",NA
"35","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","CHLORIDE","mg/L","TOTAL",53.7
"36","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","MAGNESIUM","ug/L","TOTAL",8620
"37","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","PHOSPHORUS, TOTAL (AS P)","mg/L","TOTAL",0.0088
"38","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","ARSENIC","ug/L","TOTAL",0.79
"39","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","NITROGEN, NITRATE (AS N)","mg/L","TOTAL",0.19
"40","01-CONN-2.5_2020",92,"01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,1,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,703.614156897738,"3rd",3,2018,2022,"01-CONN-2.5_15582313_2020_2018","CALCIUM","ug/L","TOTAL",52200
"41","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","ALUMINUM","ug/L","TOTAL",65.4
"42","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","NICKEL","ug/L","TOTAL",1.5
"43","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","ARSENIC","ug/L","TOTAL",0.71
"44","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","NITROGEN, AMMONIA (AS N)","mg/L","TOTAL",0.014
"45","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","PHOSPHORUS, TOTAL (AS P)","mg/L","TOTAL",0.0085
"46","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","ALKALINITY, TOTAL (AS CACO3)","mg/L","TOTAL",74.4
"47","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","SILVER","ug/L","TOTAL",NA
